timestamp,server,cpu,memory,disk,network,label,ai_prediction
2026-07-14 00:25:46.612278,VM2,0.0,55.8,23.8,127033,0,0
2026-07-14 00:25:51.640278,VM2,1.1,55.8,23.8,127927,0,0
2026-07-14 00:25:55.075753,VM1,0.0,54.7,23.8,36619,0,0
2026-07-14 00:25:56.684173,VM2,0.7,55.8,23.8,128761,0,0
2026-07-14 00:25:59.584689,VM3,0.0,52.5,23.8,140266,0,0
2026-07-14 00:26:00.153000,VM1,6.3,54.3,23.8,37512,0,1
2026-07-14 00:26:01.723230,VM2,1.0,55.8,23.8,129595,0,0
2026-07-14 00:26:04.622728,VM3,3.8,52.5,23.8,141094,0,0
2026-07-14 00:26:05.378491,VM1,9.5,54.3,23.8,38279,0,0
2026-07-14 00:26:06.765608,VM2,0.5,55.8,23.8,130429,0,0
2026-07-14 00:26:09.654818,VM3,0.3,52.5,23.8,141928,0,0
2026-07-14 00:26:10.400754,VM1,0.6,54.3,23.8,39112,0,0
2026-07-14 00:26:11.835764,VM2,0.5,55.8,23.8,131263,0,0
2026-07-14 00:26:14.720618,VM3,0.3,52.5,23.8,142762,0,0
2026-07-14 00:26:15.429300,VM1,0.8,54.3,23.8,39945,0,0
2026-07-14 00:26:19.771393,VM3,1.6,52.5,23.8,143596,0,0
2026-07-14 00:26:20.459742,VM1,3.4,54.7,23.8,40778,0,0
2026-07-14 00:26:24.816397,VM3,1.1,52.5,23.8,144430,0,0
2026-07-14 00:26:25.494656,VM1,1.9,54.7,23.8,41611,0,0
2026-07-14 00:26:29.899561,VM3,0.6,52.5,23.8,145264,0,0
2026-07-14 00:26:30.603080,VM1,82.0,54.7,23.8,43428,1,1
2026-07-14 00:26:34.953655,VM3,1.1,52.5,23.8,146032,0,0
2026-07-14 00:26:35.674598,VM1,100.0,54.7,23.8,44130,1,1
2026-07-14 00:26:40.006541,VM3,1.0,52.5,23.8,146800,0,0
2026-07-14 00:26:40.748175,VM1,100.0,54.7,23.8,44899,1,1
2026-07-14 00:26:45.054896,VM3,0.7,52.5,23.8,147634,0,0
2026-07-14 00:26:45.843792,VM1,100.0,54.7,23.8,45602,1,1
2026-07-14 00:26:50.087509,VM3,0.8,52.5,23.8,148468,0,0
2026-07-14 00:26:50.912016,VM1,100.0,54.7,23.8,46371,1,1
2026-07-14 00:26:55.138910,VM3,0.9,52.5,23.8,149302,0,0
2026-07-14 00:26:55.976194,VM1,100.0,54.7,23.8,47140,1,1
2026-07-14 00:27:00.177756,VM3,1.2,52.5,23.8,150136,0,0
2026-07-14 00:27:01.046294,VM1,100.0,54.7,23.8,47975,1,1
2026-07-14 00:27:05.207479,VM3,0.9,52.5,23.8,150970,0,0
2026-07-14 00:27:06.108198,VM1,48.9,54.7,23.8,49660,0,1
2026-07-14 00:27:10.245067,VM3,1.0,52.5,23.8,151804,0,0
2026-07-14 00:27:11.150026,VM1,2.5,54.7,23.8,50494,0,0
2026-07-14 00:27:11.708915,VM2,0.0,55.8,23.8,132097,0,0
2026-07-14 00:27:15.338077,VM3,0.8,52.5,23.8,152572,0,0
2026-07-14 00:27:16.375802,VM1,3.9,54.7,23.8,51261,0,0
2026-07-14 00:27:16.769745,VM2,1.5,55.8,23.8,132865,0,0
2026-07-14 00:27:20.419949,VM3,1.1,52.5,23.8,153406,0,0
2026-07-14 00:27:21.514039,VM1,3.0,54.7,23.8,52094,0,0
2026-07-14 00:27:21.816511,VM2,1.2,55.8,23.8,133699,0,0
2026-07-14 00:27:25.468838,VM3,1.1,52.5,23.8,154240,0,0
2026-07-14 00:27:26.576453,VM1,1.4,54.7,23.8,52927,0,0
2026-07-14 00:27:26.865536,VM2,0.7,55.8,23.8,134533,0,0
2026-07-14 00:27:30.517706,VM3,0.5,52.5,23.8,155074,0,0
2026-07-14 00:27:31.628514,VM1,2.1,54.7,23.8,53760,0,0
2026-07-14 00:27:31.912871,VM2,1.1,55.8,23.8,135367,0,0
2026-07-14 00:27:35.572791,VM3,1.0,52.5,23.8,155908,0,0
2026-07-14 00:27:36.713136,VM1,19.6,54.7,23.8,55577,1,0
2026-07-14 00:27:36.958595,VM2,1.2,55.8,23.8,136201,0,0
2026-07-14 00:27:40.624583,VM3,1.2,52.5,23.8,156742,0,0
